V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A000099,.01,L,10,100,99,SENECA,SC,H3,9,38,130,PCI/L,2000-01-05,R,12.312,Y,Tritium
DRINKING WATER,A000102,2,L,11,1000,48,LOS ANGELES,CA,I131,.047,.052,.17,PCI/L,2000-01-06,R,8.0233,D,Iodine-131
DRINKING WATER,A000103,2,L,11,1000,145,COLUMBIA,SC,I131,-.0041507,.041,.14,PCI/L,2000-01-06,R,8.0233,D,Iodine-131
DRINKING WATER,A000105,2,L,11,1000,181,ALBANY,NY,I131,-.078726,.041,.14,PCI/L,2000-01-06,R,8.0233,D,Iodine-131
DRINKING WATER,A000153,.01,L,10,100,195,PAINESVILLE,OH,H3,105,41,130,PCI/L,2000-01-06,R,12.312,Y,Tritium
DRINKING WATER,A000185,.01,L,10,100,96,OKLAHOMA CITY,OK,H3,36,39,130,PCI/L,2000-01-06,R,12.312,Y,Tritium
DRINKING WATER,A000451,2,L,11,1000,76,GRAND RAPIDS,MI,I131,.13,.1,.33,PCI/L,2000-01-18,R,8.0233,D,Iodine-131
DRINKING WATER,A002257,.01,L,10,100,3980,PHILADELPHIA,PA,H3,14,38,130,PCI/L,2000-04-13,R,12.312,Y,Tritium
DRINKING WATER,A000237,.01,L,10,100,71,CHATTANOOGA,TN,H3,232,43,130,PCI/L,2000-01-10,R,12.312,Y,Tritium
DRINKING WATER,A001858,.01,L,10,100,56,NIAGARA FALLS,NY,H3,114,43,140,PCI/L,2000-03-31,R,12.312,Y,Tritium
DRINKING WATER,A001915,.01,L,10,100,185,CEDAR RAPIDS,IA,H3,-1.6458,39,130,PCI/L,2000-04-03,R,12.312,Y,Tritium
DRINKING WATER,A001915,2,L,11,1000,185,CEDAR RAPIDS,IA,I131,.061,.036,.12,PCI/L,2000-04-03,R,8.0233,D,Iodine-131
DRINKING WATER,A000494,1.79999995231628,L,11,1000,39,IDAHO FALLS,ID,I131,.018,.042,.14,PCI/L,2000-01-24,R,8.0233,D,Iodine-131
DRINKING WATER,A000496,.01,L,10,100,41,DETROIT,MI,H3,46,39,130,PCI/L,2000-01-13,R,12.312,Y,Tritium
DRINKING WATER,A000315,.01,L,10,100,58,BISMARCK,ND,H3,-11.61,39,130,PCI/L,2000-01-11,R,12.312,Y,Tritium
DRINKING WATER,A000318,.01,L,10,100,101,CHARLOTTE,NC,H3,427,46,130,PCI/L,2000-01-12,R,12.312,Y,Tritium
DRINKING WATER,A000375,.01,L,10,100,190,RED WING,MN,H3,-16.077,39,140,PCI/L,2000-01-10,R,12.312,Y,Tritium
DRINKING WATER,A000376,.01,L,10,100,80,DENVER,CO,H3,10,40,130,PCI/L,2000-01-13,R,12.312,Y,Tritium
