V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PASTEURIZED MILK,A000152,1,L,9,1000,1,MONTGOMERY,AL,CS137,,,5.4,PCI/L,2000-01-10,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A000446,1,L,9,1000,48,LOS ANGELES,CA,CS137,,,5.3,PCI/L,2000-01-14,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A000447,1,L,9,1000,41,DETROIT,MI,CO60,,,5.2,PCI/L,2000-01-18,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A000448,1,L,9,1000,33,BOSTON,MA,I131,,,10,PCI/L,2000-01-19,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A000234,1,L,9,1000,114,PHILADELPHIA,PA,CO60,,,6.8,PCI/L,2000-01-10,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A000235,1,L,9,1000,111,CHICAGO,IL,CS137,,,5,PCI/L,2000-01-11,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A000235,1,L,9,1000,111,CHICAGO,IL,RA228,,,18,PCI/L,2000-01-11,R,5.75,Y,Radium-228
PASTEURIZED MILK,A000305,1,L,9,1000,76,GRAND RAPIDS,MI,CS137,,,5.6,PCI/L,2000-01-11,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A000306,1,L,9,1000,75,HONOLULU,HI,CO60,,,5.9,PCI/L,2000-01-11,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A000306,1,L,9,1000,75,HONOLULU,HI,CS137,,,5.6,PCI/L,2000-01-11,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A000306,1,L,9,1000,75,HONOLULU,HI,I131,,,9.1,PCI/L,2000-01-11,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A000307,1,L,9,1000,159,WICHITA,KS,CO60,,,9.1,PCI/L,2000-01-11,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A000492,1,L,9,1000,125,SPOKANE,WA,I131,,,9.9,PCI/L,2000-01-19,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A000492,1,L,9,1000,125,SPOKANE,WA,K40,1350,34,,PCI/L,2000-01-19,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A000307,1,L,9,1000,159,WICHITA,KS,RA228,,,27,PCI/L,2000-01-11,R,5.75,Y,Radium-228
PASTEURIZED MILK,A000309,1,L,9,1000,131,SAN FRANCISCO,CA,K40,1380,28,,PCI/L,2000-01-12,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A000372,1,L,9,1000,116,SYRACUSE,NY,K40,1310,51,,PCI/L,2000-01-11,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A000374,1,L,9,1000,109,LOUISVILLE,KY,BA140,,,26,PCI/L,2000-01-18,R,12.789,D,Barium-140
PASTEURIZED MILK,A002011,3,L,9,300,76,GRAND RAPIDS,MI,RA228,,,13,PCI/L,2000-04-04,R,5.75,Y,Radium-228
PASTEURIZED MILK,A002013,3,L,9,300,114,PHILADELPHIA,PA,K40,1430,22,,PCI/L,2000-04-04,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A002014,3,L,9,300,131,SAN FRANCISCO,CA,K40,1470,22,,PCI/L,2000-04-04,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A002015,3,L,9,300,24,HARTFORD,CT,I131,,,14,PCI/L,2000-04-05,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A002015,3,L,9,300,24,HARTFORD,CT,RA226,,,120,PCI/L,2000-04-05,R,1600,Y,Radium-226
PASTEURIZED MILK,A002016,3,L,9,300,1,MONTGOMERY,AL,RA226,,,110,PCI/L,2000-04-05,R,1600,Y,Radium-226
PASTEURIZED MILK,A002017,3,L,9,300,110,PORTLAND,OR,CS137,,,4.1,PCI/L,2000-04-06,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A002018,3,L,9,300,102,CHARLESTON,WV,BA140,,,32,PCI/L,2000-04-06,R,12.789,D,Barium-140
