V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,8808737,2,L,22,1000,71,CHATTANOOGA,TN,U235,.0008,.0012,,PCI/L,1990-01-03,R,703800000,Y,Uranium-235
DRINKING WATER,8808746,2,L,22,1000,495,GENOA CITY,WI,U234,.381,.027,,PCI/L,1990-01-03,R,245500,Y,Uranium-234
DRINKING WATER,8909233,3.5,L,9,50,70,E. LIVERPOOL,OH,RU106,-56.321,20,,PCI/L,1990-06-19,R,368.2,Y,Ruthenium-106
DRINKING WATER,8909233,3.5,L,9,50,70,E. LIVERPOOL,OH,TH232,2.3,7.3,,PCI/L,1990-06-19,R,14020000000,Y,Thorium-232
DRINKING WATER,8909233,1,L,22,1000,70,E. LIVERPOOL,OH,U235,.0069,.0049,,PCI/L,1991-07-31,R,703800000,Y,Uranium-235
DRINKING WATER,8909234,3.5,L,9,50,195,PAINESVILLE,OH,ZR/NB95,-1.8727,3.4,,PCI/L,1990-02-07,R,,,Zirconium/Niobium-95
DRINKING WATER,8909234,.4,L,3,100,195,PAINESVILLE,OH,ALPHA,.58,.39,,PCI/L,1990-02-08,R,,,Gross Alpha
DRINKING WATER,8909236,3.5,L,9,50,96,OKLAHOMA CITY,OK,CE144,22,29,,PCI/L,1990-02-06,R,284.3,D,Cerium-144
DRINKING WATER,8909237,3.5,L,9,50,110,PORTLAND,OR,RU106,-6.6976,20,,PCI/L,1990-02-09,R,368.2,Y,Ruthenium-106
DRINKING WATER,8909237,3.5,L,9,50,110,PORTLAND,OR,ZN65,-2.3933,7,,PCI/L,1990-02-09,R,244.4,D,Zinc-65
DRINKING WATER,8909239,3.5,L,9,50,27,HARRISBURG,PA,CE144,-6.2463,29,,PCI/L,1990-02-06,R,284.3,D,Cerium-144
DRINKING WATER,8909239,3.5,L,9,50,27,HARRISBURG,PA,TH232,7.1,7.5,,PCI/L,1990-02-06,R,14020000000,Y,Thorium-232
DRINKING WATER,8909242,.5,L,3,100,40,PROVIDENCE,RI,ALPHA,-.04691,.25,,PCI/L,1990-02-08,R,,,Gross Alpha
DRINKING WATER,9000091,2,L,11,1000,46,CINCINNATI,OH,I131,-.28,.062,,PCI/L,1990-01-03,R,8.0233,D,Iodine-131
DRINKING WATER,8909243,3.5,L,9,50,57,BARNWELL,SC,TH232,6.7,7.5,,PCI/L,1990-02-14,R,14020000000,Y,Thorium-232
DRINKING WATER,9000274,10,ML,10,100,139,BERKELEY,CA,H3,400,100,,PCI/L,1990-01-03,R,12.312,Y,Tritium
DRINKING WATER,8909245,3.5,L,9,50,197,HARTSVILLE,SC,ZN65,-.51585,6.9,,PCI/L,1990-02-14,R,244.4,D,Zinc-65
DRINKING WATER,8909247,.4,L,6,100,99,SENECA,SC,BETA,1.31,.39,,PCI/L,1991-02-01,R,,,Gross Beta
DRINKING WATER,8909248,3.5,L,9,50,71,CHATTANOOGA,TN,RU106,-46.809,20,,PCI/L,1990-02-15,R,368.2,Y,Ruthenium-106
DRINKING WATER,8909248,3.5,L,9,50,71,CHATTANOOGA,TN,ZR/NB95,1,3.5,,PCI/L,1990-02-15,R,,,Zirconium/Niobium-95
DRINKING WATER,8909249,3.5,L,9,50,141,KNOXVILLE,TN,K40,-39.034,38,,PCI/L,1990-02-13,R,1277000000,Y,Potassium-40
DRINKING WATER,8909250,3.5,L,9,50,105,AUSTIN,TX,ZR/NB95,.7,3.5,,PCI/L,1990-02-14,R,,,Zirconium/Niobium-95
DRINKING WATER,8909250,.4,L,6,100,105,AUSTIN,TX,BETA,3.59,.48,,PCI/L,1991-02-15,R,,,Gross Beta
DRINKING WATER,8909252,3.5,L,9,50,158,LYNCHBURG,VA,ZR/NB95,.5,3.4,,PCI/L,1990-02-14,R,,,Zirconium/Niobium-95
DRINKING WATER,8909253,3.5,L,9,50,346,VIRGINIA BEACH,VA,RU106,-32.007,19,,PCI/L,1990-06-19,R,368.2,Y,Ruthenium-106
DRINKING WATER,9000156,10,ML,10,100,193,CONCORD,NH,H3,400,100,,PCI/L,1990-01-03,R,12.312,Y,Tritium
DRINKING WATER,8909283,3.5,L,9,50,47,JEFFERSON CITY,MO,CE144,30,29,,PCI/L,1990-02-12,R,284.3,D,Cerium-144
DRINKING WATER,8909283,3.5,L,9,50,47,JEFFERSON CITY,MO,ZR/NB95,-2.8048,3.4,,PCI/L,1990-02-12,R,,,Zirconium/Niobium-95
DRINKING WATER,8909284,3.5,L,9,50,114,PHILADELPHIA,PA,CE144,28,29,,PCI/L,1990-02-13,R,284.3,D,Cerium-144
DRINKING WATER,8909285,3.5,L,9,50,149,SANTA FE,NM,K40,29,39,,PCI/L,1990-02-15,R,1277000000,Y,Potassium-40
DRINKING WATER,8909285,3.5,L,9,50,149,SANTA FE,NM,ZN65,-4.5353,6.9,,PCI/L,1990-02-15,R,244.4,D,Zinc-65
DRINKING WATER,8909285,3.5,L,9,50,149,SANTA FE,NM,ZR/NB95,-5.8779,3.3,,PCI/L,1990-02-15,R,,,Zirconium/Niobium-95
DRINKING WATER,8909285,1,L,16,1000,149,SANTA FE,NM,PU239,.0051,.0063,,PCI/L,1991-07-23,R,24131,Y,Plutonium-239
DRINKING WATER,8909286,3.5,L,9,50,28,RICHLAND,WA,ZN65,-1.3352,7.1,,PCI/L,1990-02-15,R,244.4,D,Zinc-65
DRINKING WATER,8909288,3.5,L,9,50,495,GENOA CITY,WI,TH232,-5.441,7.4,,PCI/L,1990-02-15,R,14020000000,Y,Thorium-232
DRINKING WATER,8909289,3.5,L,9,50,199,MADISON,WI,TH232,-.32685,7.5,,PCI/L,1990-02-15,R,14020000000,Y,Thorium-232
DRINKING WATER,8909289,3.5,L,9,50,199,MADISON,WI,ZR/NB95,-3.5609,3.4,,PCI/L,1990-02-15,R,,,Zirconium/Niobium-95
DRINKING WATER,8909289,1,L,16,1000,199,MADISON,WI,PU238,0,.0033,,PCI/L,1991-08-13,R,87.75,Y,Plutonium-238
DRINKING WATER,9000071,2,L,11,1000,58,BISMARCK,ND,I131,.08,.044,,PCI/L,1990-01-02,R,8.0233,D,Iodine-131
DRINKING WATER,9000073,10,ML,10,100,158,LYNCHBURG,VA,H3,300,100,,PCI/L,1990-01-02,R,12.312,Y,Tritium
DRINKING WATER,8909184,3.5,L,9,50,5,DOTHAN,AL,TH232,-3.888,7.4,,PCI/L,1990-01-23,R,14020000000,Y,Thorium-232
DRINKING WATER,8909184,3.5,L,9,50,5,DOTHAN,AL,ZN65,2.6,7,,PCI/L,1990-01-23,R,244.4,D,Zinc-65
DRINKING WATER,8909184,.3,L,3,100,5,DOTHAN,AL,ALPHA,.1,.71,,PCI/L,1991-02-04,R,,,Gross Alpha
DRINKING WATER,8909185,3.5,L,9,50,1,MONTGOMERY,AL,K40,-27.19,38,,PCI/L,1990-01-23,R,1277000000,Y,Potassium-40
DRINKING WATER,8909185,3.5,L,9,50,1,MONTGOMERY,AL,ZR/NB95,3.6,3.5,,PCI/L,1990-01-23,R,,,Zirconium/Niobium-95
DRINKING WATER,8909185,.4,L,3,100,1,MONTGOMERY,AL,ALPHA,.31,.69,,PCI/L,1991-02-04,R,,,Gross Alpha
DRINKING WATER,8909188,3.5,L,9,50,51,LITTLE ROCK,AR,RU106,-40.89,20,,PCI/L,1990-01-24,R,368.2,Y,Ruthenium-106
DRINKING WATER,8909189,3.5,L,9,50,139,BERKELEY,CA,ZN65,-7.577,7,,PCI/L,1990-01-23,R,244.4,D,Zinc-65
DRINKING WATER,8909189,.4,L,3,100,139,BERKELEY,CA,ALPHA,.18,.42,,PCI/L,1991-02-04,R,,,Gross Alpha
DRINKING WATER,8909190,3.5,L,9,50,48,LOS ANGELES,CA,CE144,-11.86,30,,PCI/L,1990-01-24,R,284.3,D,Cerium-144
DRINKING WATER,8909190,.15,L,3,100,48,LOS ANGELES,CA,ALPHA,.6,1.1,,PCI/L,1991-02-01,R,,,Gross Alpha
DRINKING WATER,8909223,3.5,L,9,50,193,CONCORD,NH,K40,-5.292,38,,PCI/L,1990-02-08,R,1277000000,Y,Potassium-40
DRINKING WATER,8909224,3.5,L,9,50,55,TRENTON,NJ,ZN65,8.4,7,,PCI/L,1990-02-05,R,244.4,D,Zinc-65
DRINKING WATER,8909224,.4,L,3,100,55,TRENTON,NJ,ALPHA,-.6047,.45,,PCI/L,1991-02-07,R,,,Gross Alpha
DRINKING WATER,8909225,3.5,L,9,50,194,WARETOWN,NJ,K40,17,39,,PCI/L,1990-02-01,R,1277000000,Y,Potassium-40
DRINKING WATER,8909225,3.5,L,9,50,194,WARETOWN,NJ,RU106,-26.523,20,,PCI/L,1990-02-01,R,368.2,Y,Ruthenium-106
DRINKING WATER,8909225,.4,L,3,100,194,WARETOWN,NJ,ALPHA,1.17,.42,,PCI/L,1991-02-06,R,,,Gross Alpha
DRINKING WATER,8909225,.4,L,6,100,194,WARETOWN,NJ,BETA,2.02,.44,,PCI/L,1991-02-06,R,,,Gross Beta
DRINKING WATER,8909227,.4,L,3,100,181,ALBANY,NY,ALPHA,.43,.35,,PCI/L,1991-02-01,R,,,Gross Alpha
DRINKING WATER,8909229,3.5,L,9,50,56,NIAGARA FALLS,NY,CE144,13,29,,PCI/L,1990-02-01,R,284.3,D,Cerium-144
DRINKING WATER,9002423,10,ML,10,100,28,RICHLAND,WA,H3,200,100,,PCI/L,1990-04-12,R,12.312,Y,Tritium
DRINKING WATER,9002425,10,ML,10,100,27,HARRISBURG,PA,H3,200,100,,PCI/L,1990-04-10,R,12.312,Y,Tritium
DRINKING WATER,8909193,3.5,L,9,50,24,HARTFORD,CT,K40,13,39,,PCI/L,1990-01-25,R,1277000000,Y,Potassium-40
DRINKING WATER,8909194,1,L,9,50,23,WASHINGTON,DC,TH232,-26.129,16,,PCI/L,1990-01-26,R,14020000000,Y,Thorium-232
DRINKING WATER,8909195,3.5,L,9,50,516,DOVER,DE,CE144,-.13359,29,,PCI/L,1990-01-26,R,284.3,D,Cerium-144
DRINKING WATER,8909195,3.5,L,9,50,516,DOVER,DE,ZN65,-5.7637,6.8,,PCI/L,1990-01-26,R,244.4,D,Zinc-65
DRINKING WATER,8909196,.4,L,6,100,7,MIAMI,FL,BETA,2.04,.43,,PCI/L,1991-02-04,R,,,Gross Beta
DRINKING WATER,8909197,3.5,L,9,50,77,TAMPA,FL,CE144,4,29,,PCI/L,1990-01-26,R,284.3,D,Cerium-144
DRINKING WATER,8909197,.3,L,3,100,77,TAMPA,FL,ALPHA,.73,.63,,PCI/L,1991-01-30,R,,,Gross Alpha
DRINKING WATER,8909198,3.5,L,9,50,184,BAXLEY,GA,CE144,16,29,,PCI/L,1990-01-29,R,284.3,D,Cerium-144
DRINKING WATER,8909198,3.5,L,9,50,184,BAXLEY,GA,ZN65,-5.9333,6.9,,PCI/L,1990-01-29,R,244.4,D,Zinc-65
DRINKING WATER,8909199,3.5,L,9,50,11,SAVANNAH,GA,TH232,1.1,7.5,,PCI/L,1990-01-29,R,14020000000,Y,Thorium-232
DRINKING WATER,8909200,3.5,L,9,50,75,HONOLULU,HI,CE144,26,30,,PCI/L,1990-01-29,R,284.3,D,Cerium-144
