V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PRECIPITATION,A002220,1,L,2,100,149,SANTA FE,NM,BETA,3.71,.25,.45,PCI/L,2000-05-12,R,,,Gross Beta
PRECIPITATION,A002223,1,L,2,100,107,SALT LAKE CITY,UT,BETA,1.77,.2,.44,PCI/L,2000-05-12,R,,,Gross Beta
PRECIPITATION,A002223,2.67,L,9,300,107,SALT LAKE CITY,UT,TL208,1.69,.92,,PCI/L,2000-03-15,R,3.053,M,Thallium-208
PRECIPITATION,A002224,3,L,9,300,186,BOISE,ID,CO60,,,3,PCI/L,2000-03-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A002226,2.8,L,9,300,139,BERKELEY,CA,PB212,7.5,2.1,,PCI/L,2000-03-15,R,10.643,H,Lead-212
PRECIPITATION,A002228,1,L,9,1000,110,PORTLAND,OR,RA226,,,83,PCI/L,2000-03-15,R,1600,Y,Radium-226
PRECIPITATION,A002230,.01,L,10,100,351,OLYMPIA,WA,H3,22,40,140,PCI/L,2000-03-15,R,12.312,Y,Tritium
PRECIPITATION,A001598,1,L,2,100,105,AUSTIN,TX,BETA,.46,.16,.44,PCI/L,2000-03-29,R,,,Gross Beta
PRECIPITATION,A001598,2.87,L,9,300,105,AUSTIN,TX,K40,,,23,PCI/L,2000-02-15,R,1277000000,Y,Potassium-40
PRECIPITATION,A001599,2.92,L,9,300,51,LITTLE ROCK,AR,RA228,,,10,PCI/L,2000-02-15,R,5.75,Y,Radium-228
PRECIPITATION,A001602,1,L,2,100,139,BERKELEY,CA,BETA,.35,.14,.41,PCI/L,2000-03-31,R,,,Gross Beta
PRECIPITATION,A001602,3,L,9,300,139,BERKELEY,CA,CS137,,,3.6,PCI/L,2000-02-15,R,30.17,Y,Cesium-137
