V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
SURFACE WATER,9000075,10,ML,10,100,206,SOUTHPORT,NC,H3,700,100,,PCI/L,1989-10-12,R,12.312,Y,Tritium
SURFACE WATER,8905419,10,ML,10,100,206,SOUTHPORT,NC,H3,500,100,,PCI/L,1989-07-20,R,12.312,Y,Tritium
SURFACE WATER,8903439,1,L,9,50,206,SOUTHPORT,NC,RU106,-15.99,43,,PCI/L,1989-05-08,R,368.2,Y,Ruthenium-106
SURFACE WATER,8903439,1,L,9,50,206,SOUTHPORT,NC,CE144,48,59,,PCI/L,1989-05-08,R,284.3,D,Cerium-144
SURFACE WATER,8901099,10,ML,10,100,206,SOUTHPORT,NC,H3,200,100,,PCI/L,1989-01-06,R,12.312,Y,Tritium
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,ZN65,-12.895,7.1,,PCI/L,1989-06-20,R,244.4,D,Zinc-65
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,TH232,-.66656,7.6,,PCI/L,1989-06-20,R,14020000000,Y,Thorium-232
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,K40,245,42,,PCI/L,1988-04-11,R,1277000000,Y,Potassium-40
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,CO60,7.9,4.9,,PCI/L,1988-04-05,R,5.271,Y,Cobalt-60
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,TH232,3.5,7.9,,PCI/L,1988-04-15,R,14020000000,Y,Thorium-232
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,K40,275,41,,PCI/L,1988-04-11,R,1277000000,Y,Potassium-40
SURFACE WATER,8802548,3.5,L,9,50,206,SOUTHPORT,NC,CE144,67,31,,PCI/L,1988-04-15,R,284.3,D,Cerium-144
SURFACE WATER,8702477,3.5,L,9,50,206,SOUTHPORT,NC,CS137,-6.0863,4.1,,PCI/L,1987-04-09,R,30.17,Y,Cesium-137
SURFACE WATER,8609101,10,ML,10,100,206,SOUTHPORT,NC,H3,200,100,,PCI/L,1986-08-29,R,12.312,Y,Tritium
SURFACE WATER,8602515,3.5,L,9,50,206,SOUTHPORT,NC,CO60,-3.1016,4,,PCI/L,1986-04-11,R,5.271,Y,Cobalt-60
SURFACE WATER,8503420,3.5,L,9,50,206,SOUTHPORT,NC,TH232,-1.229,8,,PCI/L,1985-05-07,R,14020000000,Y,Thorium-232
SURFACE WATER,8503420,3.5,L,9,50,206,SOUTHPORT,NC,BA140,-1.8134,17,,PCI/L,1985-04-11,R,12.789,D,Barium-140
SURFACE WATER,8402054,3.5,L,9,50,206,SOUTHPORT,NC,TH232,-8.2057,7.6,,PCI/L,1984-04-13,R,14020000000,Y,Thorium-232
SURFACE WATER,8402054,3.5,L,9,50,206,SOUTHPORT,NC,CO60,-2.0151,4,,PCI/L,1984-04-03,R,5.271,Y,Cobalt-60
SURFACE WATER,8404096,10,ML,10,100,206,SOUTHPORT,NC,H3,100,100,,PCI/L,1984-07-11,R,12.312,Y,Tritium
SURFACE WATER,8301929,3.5,L,9,50,206,SOUTHPORT,NC,ZR/NB95,-4.4306,3.4,,PCI/L,1983-04-20,R,,,Zirconium/Niobium-95
SURFACE WATER,8301929,3.5,L,9,50,206,SOUTHPORT,NC,RU106,13,20,,PCI/L,1983-04-20,R,368.2,Y,Ruthenium-106
SURFACE WATER,8301929,3.5,L,9,50,206,SOUTHPORT,NC,CS137,-3.5695,4,,PCI/L,1983-04-06,R,30.17,Y,Cesium-137
SURFACE WATER,8202265,10,ML,10,100,206,SOUTHPORT,NC,H3,200,100,,PCI/L,1982-04-26,R,12.312,Y,Tritium
SURFACE WATER,8202265,3.5,L,9,50,206,SOUTHPORT,NC,TH232,-2.231,7.1,,PCI/L,1982-04-28,R,14020000000,Y,Thorium-232
SURFACE WATER,8202265,3.5,L,9,50,206,SOUTHPORT,NC,CS137,-4.4107,3.8,,PCI/L,1982-04-26,R,30.17,Y,Cesium-137
SURFACE WATER,8101895,10,ML,10,100,206,SOUTHPORT,NC,H3,300,100,,PCI/L,1981-04-02,R,12.312,Y,Tritium
SURFACE WATER,8101895,3.5,L,9,50,206,SOUTHPORT,NC,ZR/NB95,3.1,3.3,,PCI/L,1981-04-15,R,,,Zirconium/Niobium-95
SURFACE WATER,7900821,3.5,L,9,50,206,SOUTHPORT,NC,I131,-1.9341,15,,PCI/L,1979-04-03,R,8.0233,D,Iodine-131
SURFACE WATER,7900821,3.5,L,9,50,206,SOUTHPORT,NC,CS137,-2.3623,3.9,,PCI/L,1979-04-03,R,30.17,Y,Cesium-137
SURFACE WATER,8904979,10,ML,10,100,88,NEWPORT NEWS,VA,H3,200,100,,PCI/L,1989-04-12,R,12.312,Y,Tritium
SURFACE WATER,8904979,1,L,9,50,88,NEWPORT NEWS,VA,TH232,-27.64,16,,PCI/L,1989-07-14,R,14020000000,Y,Thorium-232
SURFACE WATER,8803038,3.5,L,9,50,88,NEWPORT NEWS,VA,ZN65,-2.218,7.2,,PCI/L,1988-05-12,R,244.4,D,Zinc-65
SURFACE WATER,8803038,3.5,L,9,50,88,NEWPORT NEWS,VA,CO60,4.3,4.3,,PCI/L,1988-04-12,R,5.271,Y,Cobalt-60
SURFACE WATER,8800968,10,ML,10,100,88,NEWPORT NEWS,VA,H3,300,100,,PCI/L,1988-01-26,R,12.312,Y,Tritium
